id,examType,level,prompt,scenario,explanationJa,explanationVi,skillTag,difficulty,optionA,optionB,optionC,optionD,answer
BJT-SC-011,BJT,Mid,"あなたは他部署へ依頼メールを送ります。最も適切なのはどれですか。","マーケ部に『来週の展示会用パンフの最終データ』が必要。あなたの締切は水曜17時、マーケ部は別案件が多い。必要形式（PDF/X-1a）とページ数指定あり。","【正解D】依頼内容・目的・期限・形式・優先度・確認事項を簡潔にまとめ、相手の負荷も踏まえて可否と中間確認タイミングを求めるのがメールマナーとして適切。Aは情報不足。Bは命令口調。Cは期限が曖昧。","【Đáp án D】Email cần nêu rõ mục đích, deadline, định dạng, yêu cầu kỹ thuật, độ ưu tiên và hỏi khả năng đáp ứng/kế hoạch check trung gian. A thiếu thông tin. B ra lệnh. C mơ hồ về hạn.","メールマナー;スケジュール調整",3,"『パンフデータください』とだけ送る","『至急対応してください。水曜までに必ず出してください』と強めに書く","『なるべく早めにデータを送ってください』とだけ書く","『展示会入稿のため、最終データ（PDF/X-1a、全8P）を水曜17時までにご共有いただけますでしょうか。難しい場合は代替案（暫定版の先行共有や中間レビュー時刻）もご相談ください』と送る",D
BJT-SC-012,BJT,High,"あなたはチームリーダーです。最も適切なエスカレーションはどれですか。","本番障害が発生し、原因は外部決済サービスの遅延の可能性。顧客影響が拡大中。決済ベンダーのサポート窓口は『調査中』のみで更新がない。社内上層部への報告も必要。","【正解C】影響範囲・暫定対応・次回更新時刻を整理し、ベンダーへ明確なSLA/次報時刻を要求しつつ、社内にも定時報告の枠組みでエスカレーションするのが適切。Aは待つだけ。Bは根拠なく断定。Dは情報不足で上層部が判断できない。","【Đáp án C】Cần tổng hợp impact, workaround, thời điểm cập nhật tiếp theo; yêu cầu vendor cung cấp thời hạn/đầu mối rõ ràng và đồng thời báo cáo nội bộ theo nhịp định kỳ. A chỉ chờ. B kết luận vô căn cứ. D báo thiếu thông tin.","エスカレーション;報連相;クレーム対応",5,"ベンダーから連絡が来るまで待ち、社内には後でまとめて報告する","『ベンダーの障害です』と社内外に断定して伝える","ベンダーに『影響件数、暫定措置、復旧見込み、次回更新時刻』の提示を依頼し、社内には現状・リスク・対応方針・次回報告時刻をセットで即時エスカレーションする","社内上層部に『障害が起きています』とだけ報告する",C
BJT-SC-013,BJT,Mid,"あなたは同僚のミスに気づきました。最も適切なのはどれですか。","同僚が顧客向け資料に古い価格表を貼り付けたまま、明朝の提案会議で使用予定。本人は今日は在宅で連絡がつきにくい。","【正解B】顧客影響が大きいため、本人へ複数手段で連絡しつつ、版管理を確認して正しい資料を用意し、必要なら上長にも共有して当日リスクを潰すのが適切。Aは放置。Cは本人の顔を潰すだけで改善が遅い。Dは黙って修正は良いが共有しないと再発する。","【Đáp án B】Ảnh hưởng tới khách lớn nên liên hệ đồng nghiệp bằng nhiều kênh, kiểm tra version và chuẩn bị bản đúng; cần thì báo cấp trên để chặn rủi ro. A bỏ mặc. C làm mất mặt nhưng chưa chắc kịp sửa. D sửa âm thầm mà không chia sẻ dễ tái diễn.","報連相;会議運営",3,"本人が気づくと思い、何もしない","本人にチャット/電話/メールで連絡し、同時に最新版の価格表で資料差し替え案を準備。必要なら上長にもリスク共有する","顧客に先に『資料に誤りがあるかもしれません』と伝える","自分でこっそり修正しておき、本人には何も言わない",B
BJT-SC-014,BJT,Mid,"あなたは新人が作成したメールを確認します。最も適切な修正指示はどれですか。","新人が取引先に『お疲れ様です。資料送ります。よろしく。』とだけ書いたメールを準備。添付は見積書で、宛先は初めてやり取りする担当者。","【正解A】初回相手には名乗り、用件、添付内容、確認依頼、署名を整え、敬語・件名も明確にする指導が適切。Bは内容が不足したまま。Cは過剰に硬くしても要点がなければ意味がない。Dは送信を止めるだけで学びがない。","【Đáp án A】Lần đầu liên hệ cần giới thiệu, mục đích, nội dung file đính kèm, yêu cầu xác nhận, chữ ký và tiêu đề rõ. B vẫn thiếu thông tin. C quá cứng mà thiếu nội dung vẫn không tốt. D chỉ dừng gửi mà không hướng dẫn.","メールマナー",2,"件名を具体化し、自己紹介、添付の見積書の概要（対象/金額/有効期限）、確認依頼、署名を追加するよう指示する","短い方が良いのでそのまま送らせる","敬語だけを難しくし、文面を長くするよう指示する","今後は全部自分が送るので新人には送らせない",A
BJT-SC-015,BJT,High,"あなたは開発チームのサブリーダーです。最も適切なスケジュール調整はどれですか。","QAから重大バグが10件上がり、修正には合計4人日見込み。リリースは3日後で、既に営業が顧客へ日程を告知済み。機能追加の残タスクも2人日ある。","【正解D】品質リスクを数値で示し、スコープ調整（機能追加の凍結/延期）やリリース判断の選択肢を提示し、関係者（営業・PM・QA）と合意形成するのが適切。Aは根性論。BはQAを無視。Cは顧客へ黙って延期は信頼損失。","【Đáp án D】Cần định lượng rủi ro chất lượng, đưa ra lựa chọn (đóng băng/hoãn tính năng, lùi release, hotfix) và thống nhất với Sales/PM/QA. A chỉ là cố làm. B bỏ qua QA. C hoãn âm thầm làm mất uy tín.","スケジュール調整;報連相;エスカレーション",5,"全員で残業して全部終わらせるよう指示する","重大バグは後回しにして、機能追加を優先する","営業には言わず、リリースだけ1週間遅らせる","バグ修正見積と影響（重大度、回帰リスク）を整理し、機能追加は凍結/延期などの案を提示して、営業・PMとリリース可否を即時協議する",D
BJT-SC-016,BJT,Mid,"あなたは総務です。最も適切な対応はどれですか。","来客用会議室の予約がダブルブッキング。A部は重要な採用面接、B部は取引先との契約締結の打合せ。両方とも同じ時間で、他の会議室は小さすぎる。","【正解C】優先度と代替案を迅速に整理し、当事者へ事実共有の上で調整するのが適切。外部影響や変更可能性を確認し、必要なら会議室外（近隣会議室/貸会議室）も手配する。Aは片方に丸投げ。Bは先着順のみで不公平。Dは放置。","【Đáp án C】Cần nhanh chóng xác định mức ưu tiên và phương án thay thế, thông báo sự cố cho hai bên và điều phối; cân nhắc thuê phòng ngoài. A đẩy việc. B chỉ theo ai đặt trước không xét tác động. D bỏ mặc.","スケジュール調整;報連相",3,"A部に『B部と直接調整してください』と任せる","先に予約した方を優先し、もう一方にはキャンセルを依頼する","両部に状況を即共有し、外部来訪有無・変更可能性を確認。どちらかを別枠へ調整し、必要なら近隣の貸会議室も手配する","気づかなかったことにして当日まで何もしない",C
BJT-SC-017,BJT,Mid,"あなたは現場担当です。最も適切な謝罪と対応はどれですか。","あなたの手配ミスで、顧客訪問の通訳を予約できておらず、当日朝に発覚。顧客は海外本社の役員で、開始は2時間後。","【正解B】即時謝罪し、影響を最小化する代替案（緊急手配、リモート通訳、社内バイリンガル同席）を複数提示し、関係者へ同時に連絡・調整するのが適切。Aは隠蔽。Cは相手に負担。Dは言い訳で信頼低下。","【Đáp án B】Cần xin lỗi ngay, đưa phương án thay thế để giảm ảnh hưởng (đặt gấp, phiên dịch từ xa, người song ngữ nội bộ), đồng thời liên hệ các bên để điều phối. A che giấu. C đẩy gánh nặng cho khách. D biện minh làm giảm tin tưởng.","謝罪;スケジュール調整;報連相",4,"顧客に気づかれないよう、通訳なしで進める","顧客と上司へすぐに謝罪し、緊急で通訳会社へ手配、難しければリモート通訳や社内バイリンガルの同席を提案して調整する","顧客に『英語で進めてもらえますか』と依頼する","『通訳会社が悪い』と説明して理解を求める",B
BJT-SC-018,BJT,High,"あなたはプロダクトマネージャーです。最も適切なのはどれですか。","重要顧客が『来月までにこの機能がないと更新できない』と要求。開発は既に別機能で逼迫。実装するとセキュリティ審査も必要で、最短でも6週間。","【正解A】実現可能性を正直に伝えつつ、代替策（運用回避、限定提供、段階リリース）とロードマップ合意を提案し、更新判断を支援するのが適切。Bは無理な約束。Cは突き放し。Dは内部事情の丸投げで信頼低下。","【Đáp án A】Cần minh bạch về khả năng/tiến độ, đề xuất giải pháp thay thế (workaround vận hành, cung cấp giới hạn, release theo giai đoạn) và thống nhất roadmap để hỗ trợ quyết định gia hạn. B hứa bừa. C từ chối thẳng. D đẩy việc bằng lý do nội bộ.","交渉;報連相;エスカレーション",5,"実装に6週間必要な根拠を示し、来月までの代替案（運用手当、設定変更、限定版）と、正式対応のスケジュール案を提示して合意を図る","『必ず来月までに入れます』と約束する","『無理です』とだけ伝える","『開発が忙しいのでできません』と内部事情を説明して終える",A
BJT-SC-019,BJT,Mid,"あなたは社内の問い合わせ窓口です。最も適切なのはどれですか。","他部署から『データ抽出を今日中にお願い』と依頼。内容を聞くと、個人情報を含む可能性があるが目的が曖昧。依頼者は『急ぎだからとにかく』と言う。","【正解D】個人情報の取り扱いは目的・範囲・権限の確認が必須。急ぎでも手続きと最小限化を守り、必要なら情報管理担当へ確認するのが適切。Aは規程違反リスク。Bは拒否のみで代替がない。Cは依頼者任せで責任不明。","【Đáp án D】Dữ liệu có thể chứa PII nên phải xác nhận mục đích, phạm vi, quyền truy cập và tối thiểu hóa; nếu cần hỏi bộ phận quản trị thông tin. A rủi ro vi phạm. B chỉ từ chối không có hướng xử lý. C đẩy trách nhiệm.","エスカレーション;報連相",4,"急ぎなので目的は後で聞き、先に全部抽出して渡す","個人情報の可能性があるので一切対応しない","『目的はあなたが判断してください』と言って依頼者に任せる","目的・利用範囲・保管期間・閲覧権限を確認し、必要最小限の項目で抽出する提案をする。判断が必要なら情報管理担当へ確認する",D
BJT-SC-020,BJT,Mid,"あなたは新人営業です。最も適切な対応はどれですか。","顧客からのメールで『先日の提案内容、社内で否決された。理由は費用対効果が不明』と返信。あなたは落ち込むが、次の提案機会は残っている。","【正解C】まず感情的にならず、否決理由を具体化する質問（評価基準、予算枠、比較対象）を行い、追加資料や代替プランを提示して次の打ち手に繋げるのが適切。Aは反論で対立。Bは放置。Dは値下げ前提で利益毀損。","【Đáp án C】Không phản ứng cảm tính; cần hỏi rõ tiêu chí đánh giá, ngân sách, phương án so sánh, rồi đề xuất tài liệu bổ sung/plan thay thế để mở cơ hội tiếp. A tranh cãi. B bỏ qua. D giảm giá ngay làm hại lợi nhuận.","交渉;メールマナー;報連相",3,"『うちの提案は他社より優れているので再検討してください』と反論する","何も返さず、次の連絡を待つ","否決理由の具体（どの指標で効果が不明か、予算枠、比較している代替案）を丁寧に質問し、根拠資料や別プラン（段階導入など）を提案する","すぐに大幅値下げ案を出して承認を取りに行く",C
